id,task,WM-Correct Count
20220929006,ddkwm1,10.0
20220929006,ddkwm2,7.0
20220929010,ddkwm1,10.0
20220929010,ddkwm2,9.0
20221001015,ddkwm1,9.0
20221001015,ddkwm2,8.0
20221016019,ddkwm1,10.0
20221016019,ddkwm2,7.0
20221020021,ddkwm1,10.0
20221020021,ddkwm2,9.0
20221028026,ddkwm1,5.0
20221028026,ddkwm2,5.0
20221028027,ddkwm1,10.0
20221028027,ddkwm2,9.0
20221029028,ddkwm1,10.0
20221029028,ddkwm2,10.0
20221105031,ddkwm1,9.0
20221105031,ddkwm2,10.0
20221205036,ddkwm1,9.0
20221205036,ddkwm2,8.0
20221206038,ddkwm1,10.0
20221206038,ddkwm2,7.0
20221209040,ddkwm1,9.0
20221209040,ddkwm2,8.0
20221213041,ddkwm1,7.0
20221213041,ddkwm2,8.0
20221214043,ddkwm1,3.0
20221214043,ddkwm2,5.0
20230108045,ddkwm1,10.0
20230108045,ddkwm2,6.0
20230208047,ddkwm1,7.0
20230208047,ddkwm2,7.0
20230208048,ddkwm1,9.0
20230208048,ddkwm2,9.0
20230208049,ddkwm1,8.0
20230208049,ddkwm2,9.0
20230208052,ddkwm1,9.0
20230208052,ddkwm2,9.0
20230209053,ddkwm1,9.0
20230209053,ddkwm2,9.0
20230209054,ddkwm1,10.0
20230209054,ddkwm2,9.0
20230211055,ddkwm1,9.0
20230211055,ddkwm2,8.0
20230211058,ddkwm1,9.0
20230211058,ddkwm2,6.0
20230213064,ddkwm1,10.0
20230213064,ddkwm2,8.0
20230220075,ddkwm1,10.0
20230220075,ddkwm2,9.0
20230223080,ddkwm1,7.0
20230223080,ddkwm2,9.0
20230223081,ddkwm1,10.0
20230223081,ddkwm2,8.0
20230226084,ddkwm1,10.0
20230226084,ddkwm2,8.0
20230303091,ddkwm1,10.0
20230303091,ddkwm2,10.0
20230310090,ddkwm1,9.0
20230310090,ddkwm2,9.0
20230312096,ddkwm1,8.0
20230312096,ddkwm2,9.0
20230315099,ddkwm1,7.0
20230315099,ddkwm2,7.0
20230316100,ddkwm1,4.0
20230316100,ddkwm2,5.0
20230424102,ddkwm1,10.0
20230424102,ddkwm2,7.0
20230607103,ddkwm1,9.0
20230607103,ddkwm2,9.0
20230705104,ddkwm1,8.0
20230705104,ddkwm2,4.0
20230705105,ddkwm1,6.0
20230705105,ddkwm2,9.0
20230720106,ddkwm1,8.0
20230720106,ddkwm2,10.0
20230720107,ddkwm1,8.0
20230720107,ddkwm2,7.0
20230720108,ddkwm1,10.0
20230720108,ddkwm2,10.0
20230720109,ddkwm1,8.0
20230720109,ddkwm2,6.0
20230720111,ddkwm1,7.0
20230720111,ddkwm2,4.0
20230724112,ddkwm1,7.0
20230724112,ddkwm2,7.0
20230724113,ddkwm1,9.0
20230724113,ddkwm2,8.0
20230724114,ddkwm1,6.0
20230724114,ddkwm2,6.0
20230724115,ddkwm1,9.0
20230724115,ddkwm2,7.0
20230724116,ddkwm1,10.0
20230724116,ddkwm2,8.0
20230725117,ddkwm1,9.0
20230725117,ddkwm2,8.0
20230725118,ddkwm1,9.0
20230725118,ddkwm2,8.0
20230818119,ddkwm1,9.0
20230818119,ddkwm2,9.0
20230818120,ddkwm1,10.0
20230818120,ddkwm2,7.0
20230821121,ddkwm1,10.0
20230821121,ddkwm2,10.0
20230822122,ddkwm1,8.0
20230822122,ddkwm2,8.0
20230822123,ddkwm1,6.0
20230822123,ddkwm2,10.0
20231014124,ddkwm1,6.0
20231014124,ddkwm2,6.0
20231014125,ddkwm1,9.0
20231014125,ddkwm2,7.0
20231015126,ddkwm1,8.0
20231015126,ddkwm2,8.0
20231015127,ddkwm1,10.0
20231015127,ddkwm2,5.0
20231015128,ddkwm1,7.0
20231015128,ddkwm2,7.0
20231016129,ddkwm1,9.0
20231016129,ddkwm2,8.0
20231016130,ddkwm1,10.0
20231016130,ddkwm2,7.0
20231016131,ddkwm1,9.0
20231016131,ddkwm2,9.0
20231016132,ddkwm1,7.0
20231016132,ddkwm2,2.0
20231016133,ddkwm1,4.0
20231016133,ddkwm2,5.0
20231016134,ddkwm1,7.0
20231016134,ddkwm2,9.0
20231016135,ddkwm1,9.0
20231016135,ddkwm2,6.0
20231017136,ddkwm1,6.0
20231017136,ddkwm2,8.0
20231017137,ddkwm1,9.0
20231017137,ddkwm2,9.0
20231017138,ddkwm1,9.0
20231017138,ddkwm2,9.0
20231017139,ddkwm1,10.0
20231017139,ddkwm2,8.0
20231017140,ddkwm1,9.0
20231017140,ddkwm2,6.0
20231018142,ddkwm1,8.0
20231018142,ddkwm2,10.0
20231018143,ddkwm1,10.0
20231018143,ddkwm2,9.0
20231018144,ddkwm1,7.0
20231018144,ddkwm2,7.0
20231020145,ddkwm1,9.0
20231020145,ddkwm2,6.0
20231023146,ddkwm1,7.0
20231023146,ddkwm2,6.0
20231023147,ddkwm1,7.0
20231023147,ddkwm2,8.0
20231023148,ddkwm1,8.0
20231023148,ddkwm2,6.0
20231023149,ddkwm1,8.0
20231023149,ddkwm2,7.0
20231023150,ddkwm1,9.0
20231023150,ddkwm2,5.0
20231023151,ddkwm1,5.0
20231023151,ddkwm2,8.0
20231025152,ddkwm1,9.0
20231025152,ddkwm2,7.0
20231025153,ddkwm1,7.0
20231025153,ddkwm2,7.0
20231025154,ddkwm1,6.0
20231025154,ddkwm2,9.0
20231025155,ddkwm1,9.0
20231025155,ddkwm2,7.0
20231025156,ddkwm1,10.0
20231025156,ddkwm2,9.0
20231025157,ddkwm1,10.0
20231025157,ddkwm2,3.0
20231025158,ddkwm1,7.0
20231025158,ddkwm2,6.0
20231026159,ddkwm1,8.0
20231026159,ddkwm2,7.0
20231026160,ddkwm1,9.0
20231026160,ddkwm2,6.0
20231026161,ddkwm1,9.0
20231026161,ddkwm2,8.0
20231027162,ddkwm1,8.0
20231027162,ddkwm2,7.0
20231027163,ddkwm1,10.0
20231027163,ddkwm2,6.0
20231114164,ddkwm1,9.0
20231114164,ddkwm2,5.0
20231114165,ddkwm1,8.0
20231114165,ddkwm2,5.0
20231117166,ddkwm1,10.0
20231117166,ddkwm2,7.0
20231117167,ddkwm1,8.0
20231117167,ddkwm2,7.0
20231120168,ddkwm1,10.0
20231120168,ddkwm2,9.0
20231123169,ddkwm1,9.0
20231123169,ddkwm2,9.0
20231124170,ddkwm1,9.0
20231124170,ddkwm2,6.0
20231124171,ddkwm1,9.0
20231124171,ddkwm2,7.0
