factor_name,T-test,T,dof,tail,p-val,CI95%,cohen-d,BF10,power
DDKWM-DDK-DDK Rate,Younger-Older,6.324543342872537,90.92835072897796,greater,4.669614432047169e-09,[0.72 inf],1.092614221700339,6.303e+06,0.9999999995156954
DDKWM-DDK-DDK Regularity,Younger-Older,0.5281766615873814,115.46052921152284,greater,0.29919521010901207,[-0.18 inf],0.08291438092398219,0.433,0.11840572718348397
DDKWM-DDK-DDK Duration,Younger-Older,-1.5184787379297964,88.86902809612873,less,0.06622169987888449,[-inf 0.03],0.2648346267583856,1.08,0.432641243688674
PDSS-PD-F0 SD,Younger-Older,-1.4651872289044068,90.35644130523006,less,0.07317046948289033,[-inf 0.03],0.2537832324837279,1.006,0.40857498877505277
PDSS-PD-Intensity SD,Younger-Older,-0.036976610312884725,68.5380671354859,less,0.48530557210900904,[-inf 0.32],0.007269501472274911,0.382,0.05431735642583027
PDSS-PD-DPI,Younger-Older,-1.0891130695293416,80.36300112453341,less,0.13967963884916956,[-inf 0.1],0.198371126367616,0.652,0.2946434659801179
PDSS-PD-RST,Younger-Older,3.42638210757986,64.05680170461356,greater,0.0005364594707835794,[0.34 inf],0.6986371381038116,69.22,0.9876691196336145
PDSS-PD-Voiced Rate,Younger-Older,3.7442036550896853,70.35075562523,greater,0.00018334538839984371,[0.38 inf],0.7263356290343532,184.296,0.9918234707859469
PDSS-PD-Hesitation Ratio,Younger-Older,-7.663742817765299,82.15242966218625,less,1.597361446924703e-11,[-inf -0.92],1.3823225477430432,5.436e+09,0.9999999999999949
PDSS-PD-Energy,Younger-Older,0.4478096607106728,75.63398548642911,greater,0.32778530851376175,[-0.23 inf],0.0838618595018211,0.418,0.11945483451949857
PDSS-PD-Word Number,Younger-Older,5.984556318884642,81.45181413985789,greater,2.78413994941018e-08,[0.7 inf],1.0835273223213482,1.28e+06,0.9999999993346529
PDSS-PD-Word Rate,Younger-Older,5.984556318884644,81.45181413985787,greater,2.7841399494101548e-08,[0.7 inf],1.0835273223213482,1.28e+06,0.9999999993346529
PDSS-PD-Function Word Ratio,Younger-Older,-0.149098399346563,81.38298145341462,less,0.44092242078457367,[-inf 0.28],0.027004944461908847,0.385,0.06753201202227525
PDSS-PD-Lexical Density,Younger-Older,1.7508067476383697,66.26314295881087,greater,0.04230366031645161,[0.02 inf],0.35040202236445955,1.519,0.6205674685719589
PDSS-PD-MATTR,Younger-Older,-0.042553005021544556,69.06385214111782,less,0.4830903222232987,[-inf 0.32],0.008332839860556523,0.382,0.05497288983596719
PDSS-PD-Sentence Number,Younger-Older,5.163712374209645,80.38459442668632,greater,8.587920820709941e-07,[0.59 inf],0.9404060454068212,3.496e+04,0.9998367154776585
PDSS-PD-Parse Tree Height,Younger-Older,2.8614292426303134,68.11006530539515,greater,0.0027982855977006483,[0.23 inf],0.564386805234114,14.74,0.9330484305271612
PDSS-PD-Yngve Depth,Younger-Older,3.6151315192146303,80.2561180658149,greater,0.0002612160267925379,[0.34 inf],0.6588521201998087,122.687,0.9785693305092927
PDSS-PD-Dependency Distance,Younger-Older,4.099945476470594,95.3201512463249,greater,4.3458922084324005e-05,[0.4 inf],0.6947940027500454,602.765,0.9869679044554339
