factor_name,T-test,T,dof,tail,p-val,CI95%,cohen-d,BF10,power
DDK-DDK Rate,Younger-Older,2.741845345157528,77.87370754813529,greater,0.00378800976361116,[0.2 inf],0.5065603774099567,10.981,0.880360387885266
DDK-DDK Regularity,Younger-Older,-0.7629778595104123,84.03332818092112,less,0.2238065960981297,[-inf 0.16],0.13626867557685765,0.496,0.1878637920701761
DDK-DDK Duration,Younger-Older,-0.6671946954455538,78.83435060742204,less,0.25329802687443825,[-inf 0.18],0.12257809214855718,0.467,0.16801073080675255
PicD-F0 SD,Younger-Older,-2.6907445342533483,96.64491821458769,less,0.004200510692418812,[-inf -0.17],0.4534547609334477,9.717,0.8108377854739012
PicD-Intensity SD,Younger-Older,-0.3431085023413739,64.03233953658979,less,0.36632037904145415,[-inf 0.27],0.06997460835065707,0.402,0.10472620707111932
PicD-DPI,Younger-Older,-2.7075343361341195,97.50082709197962,less,0.004002623817283235,[-inf -0.17],0.45467129390115407,10.113,0.8126661413846875
PicD-RST,Younger-Older,-0.2006943631450418,89.91673791665195,less,0.4206954140427061,[-inf 0.26],0.034832351667541145,0.388,0.07341417215126472
PicD-Voiced Rate,Younger-Older,1.1690971358210795,75.59997612674219,greater,0.12301877494983181,[-0.09 inf],0.21898455398696468,0.708,0.33540077741134355
PicD-Hesitation Ratio,Younger-Older,-4.725640617776451,78.71568908983431,less,4.93317825559132e-06,[-inf -0.53],0.8687962552903918,6006.791,0.999299439894985
PicD-Energy,Younger-Older,2.7816243525734627,92.30898550962114,greater,0.0032787536566533347,[0.19 inf],0.47758026245630775,12.095,0.8450350031625924
PicD-Word Number,Younger-Older,2.949333652607909,92.16642739467214,greater,0.0020179594623054723,[0.22 inf],0.5066951862171258,18.44,0.8805102125398391
PicD-Word Rate,Younger-Older,2.9493336526079075,92.16642739467214,greater,0.0020179594623054788,[0.22 inf],0.5066951862171256,18.44,0.8805102125398386
PicD-Function Word Ratio,Younger-Older,2.110040883296561,76.91609532542988,greater,0.019053187795419087,[0.08 inf],0.3920623133556296,2.824,0.7050652274515883
PicD-Lexical Density,Younger-Older,0.1370286311183231,69.59658480912125,greater,0.4457019022286056,[-0.3 inf],0.026727861115949544,0.385,0.06733066624608242
PicD-MATTR,Younger-Older,1.2799522863613537,64.00501406804857,greater,0.10259087408258429,[-0.08 inf],0.261100012261152,0.8,0.4244758155574623
PicD-Sentence Number,Younger-Older,2.0089217279117793,79.09406463713422,greater,0.02397871176203225,[0.06 inf],0.3685327821897825,2.345,0.6583493787953127
PicD-Parse Tree Height,Younger-Older,1.6271344372515488,75.5367963373075,greater,0.053936584792310664,[-0.01 inf],0.3048998262204825,1.26,0.5213399611883514
PicD-Yngve Depth,Younger-Older,0.2751609458714309,73.23243951359198,greater,0.391983723325964,[-0.27 inf],0.05232941079652434,0.395,0.08797004604148384
PicD-Dependency Distance,Younger-Older,2.3725413615036968,85.6807739486161,greater,0.009952441720625805,[0.12 inf],0.4202194946391427,4.766,0.7567429820357957
