,MMSE,DST,IQCODE,DDKWM-DDK-DDK Rate,DDKWM-DDK-DDK Regularity,DDKWM-DDK-DDK Duration,PDSS-PD-F0 SD,PDSS-PD-Intensity SD,PDSS-PD-DPI,PDSS-PD-RST,PDSS-PD-Voiced Rate,PDSS-PD-Hesitation Ratio,PDSS-PD-Energy,PDSS-PD-Word Number,PDSS-PD-Word Rate,PDSS-PD-Function Word Ratio,PDSS-PD-Lexical Density,PDSS-PD-MATTR,PDSS-PD-Sentence Number,PDSS-PD-Parse Tree Height,PDSS-PD-Yngve Depth,PDSS-PD-Dependency Distance
MMSE,-,0.000775,0.159139,0.001304,0.5647,0.094916,0.69704,0.856092,0.409884,0.037024,0.017864,0.000167,0.196830,0.000857,0.000857,0.658066,0.068184,0.145871,0.004689,0.175774,0.023165,0.006431
DST,0.425716,-,0.885026,0.474931,0.145007,0.327272,0.610241,0.042708,0.212442,0.036193,0.033427,0.021302,0.665875,0.168271,0.168271,0.952040,0.291621,0.756045,0.145115,0.626632,0.36403,0.940536
IQCODE,-0.185677,-0.019235,-,0.826846,0.521997,0.789263,0.577915,0.860119,0.268187,0.093625,0.045313,0.007059,0.780214,0.001727,0.001727,0.094983,0.977952,0.001636,0.000638,0.778828,0.04655,0.125096
DDKWM-DDK-DDK Rate,0.261874,0.094836,0.029095,-,0.000176,0.000000,0.305357,0.345612,0.024350,0.002798,0.002311,0.000002,0.674532,0.000060,0.000060,0.487301,0.271134,0.051774,0.006103,0.011564,0.002023,0.007196
DDKWM-DDK-DDK Regularity,-0.047714,0.192075,0.085024,-0.303661,-,0.000000,0.194159,0.973961,0.020672,0.021554,0.029443,0.140522,0.381181,0.065502,0.065502,0.604123,0.265963,0.173918,0.123835,0.007360,0.023082,0.107357
DDKWM-DDK-DDK Duration,-0.137787,0.129772,0.035545,-0.670853,0.661983,-,0.967232,0.128394,0.097973,0.042032,0.089204,0.062106,0.322542,0.040554,0.040554,0.525643,0.633272,0.070993,0.108834,0.054882,0.323773,0.044703
PDSS-PD-F0 SD,-0.032267,-0.067734,-0.073924,-0.084823,-0.107327,0.003406,-,0.991770,0.497972,0.380109,0.82501,0.22447,0.422267,0.050394,0.050394,0.015255,0.027427,0.692250,0.084664,0.825863,0.761196,0.457664
PDSS-PD-Intensity SD,-0.015034,-0.264771,0.023441,0.078069,-0.002706,-0.125551,0.000855,-,0.059690,0.058588,0.032373,0.261269,0.00166,0.280384,0.280384,0.202976,0.076922,0.186905,0.203291,0.294634,0.901842,0.325095
PDSS-PD-DPI,-0.06824,-0.164743,0.146506,-0.185045,0.190077,0.13654,0.056137,0.155165,-,0.000000,0.000000,0.000000,0.000214,0.000000,0.000000,0.184499,0.134787,0.041744,0.000000,0.077482,0.004480,0.001792
PDSS-PD-RST,0.171608,0.273344,-0.220295,0.244044,-0.188804,-0.167367,0.072667,-0.155832,-0.674791,-,0.000000,0.000000,0.000000,0.000000,0.000000,0.048438,0.444705,0.018433,0.000000,0.002586,0.000001,0.000007
PDSS-PD-Voiced Rate,0.194471,0.277378,-0.261643,0.248625,-0.179059,-0.140205,0.018329,-0.176005,-0.648797,0.944382,-,0.000000,0.000000,0.000000,0.000000,0.003835,0.260211,0.0023,0.000000,0.001269,0.000000,0.000001
PDSS-PD-Hesitation Ratio,-0.304576,-0.299269,0.347182,-0.378037,0.121731,0.153737,0.100449,0.092931,0.591289,-0.66738,-0.771523,-,0.425590,0.000000,0.000000,0.001338,0.613477,0.002543,0.000000,0.00001,0.000000,0.000000
PDSS-PD-Energy,0.106691,-0.057399,0.037109,0.034803,0.072504,0.081873,-0.066455,0.256374,0.299799,-0.532545,-0.509895,0.065981,-,0.092649,0.092649,0.127793,0.066914,0.959383,0.027087,0.652377,0.402972,0.687003
PDSS-PD-Word Number,0.271183,0.181763,-0.399385,0.323535,-0.151805,-0.168572,-0.161145,-0.089311,-0.499607,0.638797,0.756351,-0.917102,-0.138733,-,0.,0.000061,0.120658,0.000539,0.000000,0.000002,0.000000,0.000000
PDSS-PD-Word Rate,0.271183,0.181763,-0.399385,0.323535,-0.151805,-0.168572,-0.161145,-0.089311,-0.499607,0.638797,0.756351,-0.917102,-0.138733,1.0,-,0.000061,0.120658,0.000539,0.000000,0.000002,0.000000,0.000000
PDSS-PD-Function Word Ratio,0.036679,0.008001,-0.219411,0.057537,0.042963,-0.052579,-0.199124,-0.105251,-0.109682,0.162519,0.236302,-0.261298,-0.125747,0.323277,0.323277,-,0.000000,0.048484,0.004724,0.271639,0.002879,0.000002
PDSS-PD-Lexical Density,0.150336,0.139607,-0.003677,0.091041,-0.092025,-0.039539,0.181313,0.145855,0.123505,-0.063296,-0.093136,0.041857,0.151026,-0.128135,-0.128135,-0.687425,-,0.189933,0.854050,0.970639,0.0362,0.000109
PDSS-PD-MATTR,0.120126,-0.041314,0.401228,0.160203,0.112367,-0.148847,0.032804,0.109087,0.167599,-0.193534,-0.248744,0.246343,0.004222,-0.2811,-0.2811,-0.162486,0.108346,-,0.000272,0.176953,0.010823,0.320355
PDSS-PD-Sentence Number,0.231233,0.192024,-0.431821,0.224428,-0.127059,-0.132345,-0.142216,-0.105178,-0.44338,0.576913,0.696793,-0.828254,-0.181707,0.898108,0.898108,0.231043,-0.015249,-0.295089,-,0.173722,0.001587,0.003685
