,MMSE,DST,IQCODE,DDK-DDK Rate,DDK-DDK Regularity,DDK-DDK Duration,PicD-F0 SD,PicD-Intensity SD,PicD-DPI,PicD-RST,PicD-Voiced Rate,PicD-Hesitation Ratio,PicD-Energy,PicD-Word Number,PicD-Word Rate,PicD-Function Word Ratio,PicD-Lexical Density,PicD-MATTR,PicD-Sentence Number,PicD-Parse Tree Height,PicD-Yngve Depth,PicD-Dependency Distance
MMSE,-,0.000775,0.159139,0.105032,0.645872,0.638355,0.579968,0.789657,0.827728,0.978146,0.878589,0.004541,0.007381,0.013650,0.013650,0.711106,0.513616,0.153907,0.217417,0.010968,0.539103,0.066048
DST,0.425716,-,0.885026,0.417345,0.46091,0.805060,0.704886,0.360386,0.182470,0.829939,0.795705,0.296978,0.034680,0.680351,0.680351,0.087201,0.728499,0.378909,0.605784,0.116745,0.755226,0.609930
IQCODE,-0.185677,-0.019235,-,0.756372,0.540725,0.626456,0.517655,0.600188,0.737429,0.124308,0.100793,0.408672,0.389015,0.100251,0.100251,0.817771,0.590152,0.836103,0.230306,0.277593,0.878641,0.777828
DDK-DDK Rate,0.133774,0.107583,-0.041256,-,0.000002,0.000000,0.035322,0.537786,0.065489,0.037896,0.010935,0.004953,0.746118,0.000632,0.000632,0.827112,0.615877,0.574760,0.001588,0.289202,0.539589,0.058562
DDK-DDK Regularity,-0.03808,0.097858,0.081245,-0.377833,-,0.000000,0.390240,0.12697,0.278731,0.061182,0.066222,0.185650,0.846433,0.147052,0.147052,0.593292,0.528374,0.354531,0.125774,0.466714,0.349763,0.374513
DDK-DDK Duration,-0.038949,0.032825,-0.064683,-0.785847,0.603361,-,0.380158,0.162280,0.27917,0.330909,0.149706,0.13807,0.603063,0.038915,0.038915,0.889795,0.499366,0.653877,0.099312,0.323273,0.263489,0.083072
PicD-F0 SD,-0.045857,-0.050353,0.08591,-0.17316,-0.071138,0.072659,-,0.468911,0.834366,0.112324,0.20804,0.684178,0.242537,0.421804,0.421804,0.456736,0.726556,0.362547,0.872393,0.050285,0.871863,0.529229
PicD-Intensity SD,0.022112,-0.121229,-0.069643,0.051048,-0.126018,-0.115464,0.059988,-,0.500830,0.140352,0.025976,0.047911,0.073376,0.022529,0.022529,0.860584,0.216765,0.630315,0.041969,0.860727,0.647891,0.614046
PicD-DPI,-0.018039,0.175973,-0.044579,-0.151812,0.089617,0.089536,-0.017334,0.055765,-,0.000000,0.000000,0.000000,0.006672,0.000000,0.000000,0.630728,0.100206,0.326803,0.000000,0.112667,0.036912,0.009878
PicD-RST,0.002271,-0.028568,-0.202346,0.170837,-0.154277,-0.080474,0.131067,-0.121783,-0.644934,-,0.000000,0.000000,0.000000,0.000000,0.000000,0.644099,0.216205,0.933328,0.000000,0.476268,0.072476,0.071893
PicD-Voiced Rate,-0.012664,-0.034434,-0.215735,0.20864,-0.151406,-0.119002,0.104088,-0.183026,-0.612114,0.925561,-,0.000000,0.000000,0.000000,0.000000,0.755958,0.065577,0.711759,0.000000,0.237008,0.103079,0.1034
PicD-Hesitation Ratio,-0.232048,-0.138081,0.109587,-0.229836,0.109396,0.122482,0.033713,0.162897,0.61204,-0.48389,-0.629823,-,0.511860,0.000000,0.000000,0.365493,0.011698,0.707429,0.000000,0.000071,0.000248,0.000032
PicD-Energy,0.219395,0.275517,0.114222,-0.026836,0.016055,0.043089,-0.096658,0.147621,0.222079,-0.552775,-0.532001,-0.054339,-,0.136673,0.136673,0.538061,0.416879,0.749412,0.035534,0.243832,0.172828,0.389647
PicD-Word Number,0.202345,-0.054767,-0.21607,0.277711,-0.119777,-0.169953,-0.066521,-0.187448,-0.529705,0.52551,0.673932,-0.866057,-0.122915,-,0.,0.42996,0.000025,0.155357,0.000000,0.000003,0.000015,0.000002
PicD-Word Rate,0.202345,-0.054767,-0.21607,0.277711,-0.119777,-0.169953,-0.066521,-0.187448,-0.529705,0.52551,0.673932,-0.866057,-0.122915,1.0,-,0.42996,0.000025,0.155357,0.000000,0.000003,0.000015,0.000002
PicD-Function Word Ratio,0.030697,0.224619,0.030646,0.018105,0.044254,0.011487,-0.06164,0.014559,-0.039836,-0.038285,-0.025761,-0.074917,0.051014,0.065362,0.065362,-,0.000000,0.000837,0.211020,0.193248,0.0035,0.000000
PicD-Lexical Density,0.054114,-0.046155,-0.071563,-0.041574,-0.052233,0.055956,0.028986,0.102131,0.135649,-0.102255,-0.151763,0.206744,0.067228,-0.33922,-0.33922,-0.645528,-,0.000016,0.225737,0.015495,0.000000,0.000000
PicD-MATTR,0.117796,0.116659,-0.027517,0.046488,-0.076641,-0.037159,0.075377,-0.039884,-0.081158,-0.006935,-0.030625,0.031107,0.026476,-0.117385,-0.117385,-0.271684,0.346518,-,0.644544,0.727828,0.005655,0.007347
PicD-Sentence Number,0.101987,-0.068579,-0.158573,0.257382,-0.126412,-0.136004,-0.013315,-0.167417,-0.490335,0.518533,0.674042,-0.76467,-0.172963,0.847935,0.847935,-0.103413,-0.100176,-0.038233,-,0.634888,0.653593,0.839688
PicD-Parse Tree Height,0.208556,0.206423,-0.143691,0.087697,-0.060285,-0.08175,-0.161221,0.014544,-0.130943,0.059001,0.097797,-0.320564,0.096394,0.374944,0.374944,0.107545,-0.198669,0.028845,0.039352,-,0.000000,0.000000
PicD-Yngve Depth,0.050883,0.041457,-0.020311,0.050822,-0.077401,-0.092501,-0.013371,-0.037847,-0.171708,0.14808,0.134525,-0.296909,0.11265,0.347621,0.347621,0.238573,-0.467549,-0.226414,-0.037192,0.472505,-,0.000000
PicD-Dependency Distance,0.151502,0.067793,-0.037523,0.155848,-0.073522,-0.142942,-0.052125,-0.04179,-0.21147,0.14838,0.134401,-0.33476,0.071227,0.37938,0.37938,0.450737,-0.538177,-0.219519,-0.016769,0.538231,0.69437,-
