index,features,MMSE,DST,IQCODE,group
0,DDK-DDK Rate,0.105032,0.417345,0.756372,Single-Task
1,DDK-DDK Regularity,0.645872,0.46091,0.540725,Single-Task
2,DDK-DDK Duration,0.638355,0.80506,0.626456,Single-Task
3,PicD-F0 SD,0.579968,0.704886,0.517655,Single-Task
4,PicD-Intensity SD,0.789657,0.360386,0.600188,Single-Task
5,PicD-DPI,0.827728,0.18247,0.737429,Single-Task
6,PicD-RST,0.978146,0.829939,0.124308,Single-Task
7,PicD-Voiced Rate,0.878589,0.795705,0.100793,Single-Task
8,PicD-Hesitation Ratio,0.004541,0.296978,0.408672,Single-Task
9,PicD-Energy,0.007381,0.03468,0.389015,Single-Task
10,PicD-Word Number,0.01365,0.680351,0.100251,Single-Task
11,PicD-Word Rate,0.01365,0.680351,0.100251,Single-Task
12,PicD-Function Word Ratio,0.711106,0.087201,0.817771,Single-Task
13,PicD-Lexical Density,0.513616,0.728499,0.590152,Single-Task
14,PicD-MATTR,0.153907,0.378909,0.836103,Single-Task
15,PicD-Sentence Number,0.217417,0.605784,0.230306,Single-Task
16,PicD-Parse Tree Height,0.010968,0.116745,0.277593,Single-Task
17,PicD-Yngve Depth,0.539103,0.755226,0.878641,Single-Task
18,PicD-Dependency Distance,0.066048,0.60993,0.777828,Single-Task
0,DDKWM-DDK-DDK Rate,0.001304,0.474931,0.826846,Dual-Task
1,DDKWM-DDK-DDK Regularity,0.5647,0.145007,0.521997,Dual-Task
2,DDKWM-DDK-DDK Duration,0.094916,0.327272,0.789263,Dual-Task
3,PDSS-PD-F0 SD,0.69704,0.610241,0.577915,Dual-Task
4,PDSS-PD-Intensity SD,0.856092,0.042708,0.860119,Dual-Task
5,PDSS-PD-DPI,0.409884,0.212442,0.268187,Dual-Task
6,PDSS-PD-RST,0.037024,0.036193,0.093625,Dual-Task
7,PDSS-PD-Voiced Rate,0.017864,0.033427,0.045313,Dual-Task
8,PDSS-PD-Hesitation Ratio,0.000167,0.021302,0.007059,Dual-Task
9,PDSS-PD-Energy,0.19683,0.665875,0.780214,Dual-Task
10,PDSS-PD-Word Number,0.000857,0.168271,0.001727,Dual-Task
11,PDSS-PD-Word Rate,0.000857,0.168271,0.001727,Dual-Task
12,PDSS-PD-Function Word Ratio,0.658066,0.95204,0.094983,Dual-Task
13,PDSS-PD-Lexical Density,0.068184,0.291621,0.977952,Dual-Task
14,PDSS-PD-MATTR,0.145871,0.756045,0.001636,Dual-Task
15,PDSS-PD-Sentence Number,0.004689,0.145115,0.000638,Dual-Task
16,PDSS-PD-Parse Tree Height,0.175774,0.626632,0.778828,Dual-Task
17,PDSS-PD-Yngve Depth,0.023165,0.36403,0.04655,Dual-Task
18,PDSS-PD-Dependency Distance,0.006431,0.940536,0.125096,Dual-Task
