factor_name,T-test,T,dof,tail,p-val,CI95%,cohen-d,BF10,power
DDKWM-DDK-DDK Rate,Younger-Older,4.592823772086719,88.18377842600533,greater,7.228775494908763e-06,[0.55 inf],0.9539721535921805,2523.392,0.9981007093186978
DDKWM-DDK-DDK Regularity,Younger-Older,-0.421124207478121,83.33748720907523,less,0.3373742565084007,[-inf 0.26],0.08720703715494786,0.473,0.10937523402964458
DDKWM-DDK-DDK Duration,Younger-Older,-1.8146281440855445,89.96925395214672,less,0.03645685004335244,[-inf -0.03],0.3782536781123133,1.845,0.5616294484611423
PDSS-PD-F0 SD,Younger-Older,-0.6704531735287028,89.88990011927,less,0.25214393244246397,[-inf 0.21],0.13959004978109973,0.533,0.16339898758185145
PDSS-PD-Intensity SD,Younger-Older,-0.11389876704238187,82.204369017157,less,0.4547978818429984,[-inf 0.33],0.023894227981537473,0.44,0.06286662224562935
PDSS-PD-DPI,Younger-Older,-1.35582004737751,87.9184548661928,less,0.08931441037789357,[-inf 0.06],0.28346056573931133,0.981,0.38362801454368267
PDSS-PD-RST,Younger-Older,3.4246852600123163,79.85557315834116,greater,0.0004871768375906767,[0.35 inf],0.719222715078078,63.628,0.9622574864477573
PDSS-PD-Voiced Rate,Younger-Older,3.6552536782042613,85.08275478411427,greater,0.00022187671167487526,[0.39 inf],0.7656670670835192,123.138,0.9771681551815851
PDSS-PD-Hesitation Ratio,Younger-Older,-5.8316349777808325,89.7683102176258,less,4.265464300812156e-08,[-inf -0.75],1.2164500894075805,2.691e+05,0.9999999972700299
PDSS-PD-Energy,Younger-Older,-0.11744867531538504,87.58472750973377,less,0.45338671564648547,[-inf 0.33],0.024561547648054932,0.44,0.06325991138680813
PDSS-PD-Word Number,Younger-Older,5.481111340960047,88.73751125287333,greater,1.9600957407242458e-07,[0.7 inf],1.1390798467630314,6.724e+04,0.9999200153943965
PDSS-PD-Word Rate,Younger-Older,5.481111340960048,88.73751125287332,greater,1.9600957407242458e-07,[0.7 inf],1.1390798467630316,6.724e+04,0.9999200153943948
PDSS-PD-Function Word Ratio,Younger-Older,-0.4416005371942694,89.72076987838626,less,0.32992038992702133,[-inf 0.26],0.09212577675365978,0.477,0.11382187555435733
PDSS-PD-Lexical Density,Younger-Older,1.921673877150389,73.73071859329612,greater,0.029255850963468708,[0.05 inf],0.40459667530249555,2.193,0.6104345391127965
PDSS-PD-MATTR,Younger-Older,-0.3205207851070977,83.15335873775221,less,0.37468883065361575,[-inf 0.28],0.06720899046885462,0.458,0.09258185687237337
PDSS-PD-Sentence Number,Younger-Older,4.468928701998888,89.03502831440352,greater,1.1523107967148459e-05,[0.54 inf],0.9332910231101622,1645.425,0.9974132284012824
PDSS-PD-Parse Tree Height,Younger-Older,1.8738639737365512,80.04388085441765,greater,0.032299167216675854,[0.04 inf],0.3934998724499566,2.028,0.5900404514776262
PDSS-PD-Yngve Depth,Younger-Older,2.3166998556685976,88.38492378655012,greater,0.01141624130911513,[0.13 inf],0.48415130792737854,4.495,0.7450516704849698
PDSS-PD-Dependency Distance,Younger-Older,2.9215850663412284,89.60455942268888,greater,0.002203284811733548,[0.25 inf],0.6096377038133677,17.087,0.8954583751367298
