factor_name,T-test,T,dof,tail,p-val,CI95%,cohen-d,BF10,power
DDK-DDK Rate,Younger-Older,2.3647193241283886,89.03611883573534,greater,0.010108228756357694,[0.14 inf],0.493847311260471,4.947,0.7596368530619598
DDK-DDK Regularity,Younger-Older,-0.6481656002275198,89.91311414372105,less,0.2592648424936464,[-inf 0.21],0.13496128772709096,0.527,0.15802440156881747
DDK-DDK Duration,Younger-Older,-1.2229077845884582,89.0892914976269,less,0.11229483232159126,[-inf 0.09],0.2553751595811659,0.844,0.33373943253291755
PicD-F0 SD,Younger-Older,-1.4466348052867093,89.89340379849894,less,0.07573862119096034,[-inf 0.04],0.3011967414258409,1.096,0.41622176570486075
PicD-Intensity SD,Younger-Older,0.09142538944762531,82.92066231315218,greater,0.46368754590951466,[-0.33 inf],0.019172935720717644,0.439,0.06013828076937611
PicD-DPI,Younger-Older,-2.050260498401205,87.43053376310996,less,0.02166702237765888,[-inf -0.08],0.42559912600614697,2.732,0.6481716261318169
PicD-RST,Younger-Older,0.6021429860691064,89.42782344505932,greater,0.27430132950379804,[-0.22 inf],0.12568473291605353,0.513,0.14760641642324002
PicD-Voiced Rate,Younger-Older,1.1779657857009784,89.74909456682457,greater,0.12096215242225913,[-0.1 inf],0.24572900086074695,0.805,0.31721096762078715
PicD-Hesitation Ratio,Younger-Older,-3.5613559012808436,89.97710686291742,less,0.0002961014197665726,[-inf -0.37],0.742312400309659,93.71,0.9704445300623904
PicD-Energy,Younger-Older,2.293129409900312,89.15649243971778,greater,0.012096272712943985,[0.13 inf],0.4767853155446034,4.292,0.7336694951549804
PicD-Word Number,Younger-Older,2.2062270947602642,87.86953473186425,greater,0.014988188887831022,[0.11 inf],0.45813201712457485,3.632,0.7037411336996623
PicD-Word Rate,Younger-Older,2.206227094760264,87.86953473186425,greater,0.014988188887831044,[0.11 inf],0.45813201712457474,3.632,0.7037411336996623
PicD-Function Word Ratio,Younger-Older,2.465575066449656,85.6945378220158,greater,0.007836688247796297,[0.16 inf],0.5162786462709603,6.084,0.7915666177803402
PicD-Lexical Density,Younger-Older,-0.3202245664372739,86.19273746264025,less,0.37478655068301897,[-inf 0.28],0.06703260532800978,0.458,0.09244274033823716
PicD-MATTR,Younger-Older,0.6271710652812557,84.06146585420831,greater,0.26612345763771456,[-0.22 inf],0.13144773977586935,0.52,0.1540230913779046
PicD-Sentence Number,Younger-Older,1.9883506602074204,89.90544756589016,greater,0.02490715620309298,[0.07 inf],0.41459257809071154,2.454,0.6285501773673627
PicD-Parse Tree Height,Younger-Older,0.541646781868314,87.0144239484346,greater,0.29472305298777857,[-0.24 inf],0.11332034651383933,0.498,0.13445147728039253
PicD-Yngve Depth,Younger-Older,0.0985358969019847,85.87345249632806,greater,0.4608682072013748,[-0.33 inf],0.020630650022097016,0.439,0.060970589356421634
PicD-Dependency Distance,Younger-Older,1.967038957656763,89.9113184595011,greater,0.026130907645110158,[0.06 inf],0.41013962956754285,2.366,0.6205125355994434
