,MMSE,DST,IQCODE,DDKWM-DDK-DDK Rate,DDKWM-DDK-DDK Regularity,DDKWM-DDK-DDK Duration,PDSS-PD-F0 SD,PDSS-PD-Intensity SD,PDSS-PD-DPI,PDSS-PD-RST,PDSS-PD-Voiced Rate,PDSS-PD-Hesitation Ratio,PDSS-PD-Energy,PDSS-PD-Word Number,PDSS-PD-Word Rate,PDSS-PD-Function Word Ratio,PDSS-PD-Lexical Density,PDSS-PD-MATTR,PDSS-PD-Sentence Number,PDSS-PD-Parse Tree Height,PDSS-PD-Yngve Depth,PDSS-PD-Dependency Distance
MMSE,-,0.000775,0.159139,0.002612,0.243517,0.038775,0.472828,0.66792,0.166153,0.021008,0.009654,0.000097,0.132108,0.001317,0.001317,0.344233,0.003078,0.690889,0.00511,0.093663,0.021503,0.008315
DST,0.425716,-,0.885026,0.474931,0.145007,0.327272,0.610241,0.042708,0.212442,0.036193,0.033427,0.021302,0.665875,0.168271,0.168271,0.952040,0.291621,0.756045,0.145115,0.626632,0.36403,0.940536
IQCODE,-0.185677,-0.019235,-,0.826846,0.521997,0.789263,0.577915,0.860119,0.268187,0.093625,0.045313,0.007059,0.780214,0.001727,0.001727,0.094983,0.977952,0.001636,0.000638,0.778828,0.04655,0.125096
DDKWM-DDK-DDK Rate,0.310273,0.094836,0.029095,-,0.038144,0.000000,0.371445,0.155954,0.449556,0.074728,0.063985,0.001619,0.624989,0.003625,0.003625,0.544044,0.217309,0.095,0.040478,0.030896,0.032149,0.083767
DDKWM-DDK-DDK Regularity,-0.122807,0.192075,0.085024,-0.216546,-,0.000000,0.137823,0.694227,0.165796,0.043402,0.053832,0.024821,0.677054,0.006329,0.006329,0.322525,0.003694,0.282654,0.030456,0.001571,0.019024,0.198399
DDKWM-DDK-DDK Duration,-0.215858,0.129772,0.035545,-0.670908,0.537336,-,0.925070,0.06156,0.784504,0.129622,0.223905,0.043732,0.637667,0.020378,0.020378,0.626066,0.196803,0.045213,0.054504,0.072094,0.429494,0.146082
PDSS-PD-F0 SD,-0.075773,-0.067734,-0.073924,-0.094263,-0.155896,-0.009941,-,0.684226,0.350791,0.405663,0.609179,0.903439,0.425738,0.479644,0.479644,0.022318,0.101771,0.755668,0.600056,0.651980,0.901707,0.904132
PDSS-PD-Intensity SD,-0.045324,-0.264771,0.023441,0.149132,-0.041536,-0.195691,-0.04297,-,0.096926,0.058393,0.072198,0.538013,0.003036,0.428017,0.428017,0.956741,0.451118,0.123792,0.261861,0.720602,0.593889,0.083104
PDSS-PD-DPI,-0.145582,-0.164743,0.146506,-0.0798,0.145704,0.028899,0.098387,0.174117,-,0.000000,0.000000,0.000000,0.001912,0.000000,0.000000,0.696314,0.571028,0.092591,0.000001,0.160356,0.044012,0.089703
PDSS-PD-RST,0.240357,0.273344,-0.220295,0.186715,-0.211088,-0.159179,0.087727,-0.19808,-0.695357,-,0.000000,0.000000,0.000000,0.000000,0.000000,0.111957,0.988306,0.011591,0.000000,0.006785,0.000059,0.000401
PDSS-PD-Voiced Rate,0.268513,0.277378,-0.261643,0.193928,-0.201713,-0.128027,0.054001,-0.188335,-0.665365,0.953071,-,0.000000,0.000000,0.000000,0.000000,0.046611,0.982798,0.00564,0.000000,0.003662,0.000004,0.000299
PDSS-PD-Hesitation Ratio,-0.395087,-0.299269,0.347182,-0.32418,0.233913,0.210764,0.012823,0.065025,0.642137,-0.749164,-0.826972,-,0.160549,0.000000,0.000000,0.094615,0.30522,0.006725,0.000000,0.000137,0.000000,0.000044
PDSS-PD-Energy,0.158167,-0.057399,0.037109,0.051632,0.044002,0.049751,-0.084044,0.305766,0.319412,-0.550067,-0.539141,0.147512,-,0.091513,0.091513,0.121282,0.105826,0.513948,0.052794,0.788532,0.763284,0.698653
PDSS-PD-Word Number,0.329975,0.181763,-0.399385,0.30036,-0.28268,-0.241515,-0.074614,-0.083632,-0.511931,0.694418,0.783435,-0.915979,-0.176959,-,0.,0.015723,0.626980,0.001122,0.000000,0.000017,0.000000,0.000002
PDSS-PD-Word Rate,0.329975,0.181763,-0.399385,0.30036,-0.28268,-0.241515,-0.074614,-0.083632,-0.511931,0.694418,0.783435,-0.915979,-0.176959,1.0,-,0.015723,0.626980,0.001122,0.000000,0.000017,0.000000,0.000002
PDSS-PD-Function Word Ratio,-0.099727,0.008001,-0.219411,0.064065,0.104284,-0.051472,-0.238038,0.005734,-0.041238,0.16683,0.208021,-0.175315,-0.162684,0.251194,0.251194,-,0.000000,0.094769,0.072777,0.424006,0.047096,0.002939
PDSS-PD-Lexical Density,0.305352,0.139607,-0.003677,0.129854,-0.299784,-0.135799,0.171677,0.079526,0.059831,-0.001549,-0.002279,-0.108059,0.169704,0.051336,0.051336,-0.647526,-,0.439898,0.45721,0.165193,0.851335,0.232614
PDSS-PD-MATTR,0.042014,-0.041314,0.401228,0.175114,0.113199,-0.209335,-0.032883,0.16161,0.176383,-0.262147,-0.28643,0.280689,0.06891,-0.334415,-0.334415,-0.175234,0.081505,-,0.001193,0.084555,0.005684,0.641524
PDSS-PD-Sentence Number,0.2896,0.192024,-0.431821,0.21405,-0.225789,-0.201162,-0.055379,-0.118182,-0.484774,0.637577,0.729017,-0.865521,-0.202576,0.921225,0.921225,0.18796,0.078463,-0.332716,-,0.064281,0.00112,0.012502
PDSS-PD-Parse Tree Height,0.175815,0.06465,-0.037349,0.225209,-0.325033,-0.188402,0.047646,0.037791,-0.147579,0.280394,0.300046,-0.387167,0.028346,0.431563,0.431563,0.084357,0.145909,-0.180815,0.193716,-,0.000000,0.000000
PDSS-PD-Yngve Depth,0.239466,0.120318,-0.260209,0.223597,-0.244116,-0.083365,0.013054,0.056317,-0.210491,0.406069,0.459332,-0.505017,0.031827,0.573383,0.573383,0.207574,0.019808,-0.286176,0.334462,0.627726,-,0.000000
PDSS-PD-Dependency Distance,0.273605,0.009924,-0.201932,0.181267,-0.13532,-0.152736,-0.012731,0.18165,-0.177939,0.36142,0.368712,-0.412265,-0.040904,0.468942,0.468942,0.306749,-0.125671,-0.049182,0.259469,0.569863,0.639844,-
