,MMSE,DST,IQCODE,DDK-DDK Rate,DDK-DDK Regularity,DDK-DDK Duration,PicD-F0 SD,PicD-Intensity SD,PicD-DPI,PicD-RST,PicD-Voiced Rate,PicD-Hesitation Ratio,PicD-Energy,PicD-Word Number,PicD-Word Rate,PicD-Function Word Ratio,PicD-Lexical Density,PicD-MATTR,PicD-Sentence Number,PicD-Parse Tree Height,PicD-Yngve Depth,PicD-Dependency Distance
MMSE,-,0.000775,0.159139,0.053953,0.431213,0.327925,0.994586,0.964015,0.628021,0.932133,0.994998,0.011031,0.00237,0.089672,0.089672,0.938031,0.417491,0.097317,0.378266,0.006471,0.851101,0.074475
DST,0.425716,-,0.885026,0.417345,0.46091,0.805060,0.704886,0.360386,0.182470,0.829939,0.795705,0.296978,0.034680,0.680351,0.680351,0.087201,0.728499,0.378909,0.605784,0.116745,0.755226,0.609930
IQCODE,-0.185677,-0.019235,-,0.756372,0.540725,0.626456,0.517655,0.600188,0.737429,0.124308,0.100793,0.408672,0.389015,0.100251,0.100251,0.817771,0.590152,0.836103,0.230306,0.277593,0.878641,0.777828
DDK-DDK Rate,0.201614,0.107583,-0.041256,-,0.000376,0.000000,0.100789,0.558267,0.064784,0.016295,0.006261,0.007391,0.228344,0.001449,0.001449,0.339398,0.138615,0.972014,0.001643,0.319183,0.249463,0.03233
DDK-DDK Regularity,-0.083056,0.097858,0.081245,-0.363039,-,0.000000,0.498975,0.636624,0.478474,0.435165,0.244749,0.194557,0.445496,0.105015,0.105015,0.843243,0.606335,0.087617,0.204313,0.283488,0.085035,0.267415
DDK-DDK Duration,-0.103133,0.032825,-0.064683,-0.784729,0.613967,-,0.294129,0.198296,0.293886,0.175393,0.089140,0.173467,0.162324,0.068417,0.068417,0.920608,0.412649,0.590042,0.108768,0.253456,0.129058,0.119096
PicD-F0 SD,-0.000717,-0.050353,0.08591,-0.172164,-0.071375,0.110553,-,0.816298,0.783945,0.279413,0.482659,0.74875,0.96418,0.880134,0.880134,0.302550,0.541345,0.744489,0.860382,0.433788,0.237027,0.792369
PicD-Intensity SD,-0.004769,-0.121229,-0.069643,0.061821,-0.049905,-0.135351,0.024552,-,0.893974,0.090730,0.034637,0.176718,0.117309,0.076671,0.076671,0.562744,0.144295,0.92895,0.124279,0.990807,0.429666,0.554941
PicD-DPI,-0.051181,0.175973,-0.044579,-0.193359,0.074812,0.110608,-0.028976,0.014087,-,0.000000,0.000000,0.000000,0.015578,0.000000,0.000000,0.800719,0.215969,0.766588,0.000000,0.129622,0.208344,0.057181
PicD-RST,0.009002,-0.028568,-0.202346,0.249881,-0.082348,-0.142503,0.113959,-0.177381,-0.674383,-,0.000000,0.000000,0.000000,0.000000,0.000000,0.928833,0.220196,0.474163,0.000000,0.238126,0.080713,0.066715
PicD-Voiced Rate,-0.000663,-0.034434,-0.215735,0.283036,-0.122489,-0.178247,0.074104,-0.220547,-0.682421,0.942427,-,0.000000,0.000000,0.000000,0.000000,0.963948,0.140456,0.627496,0.000000,0.256853,0.142613,0.147262
PicD-Hesitation Ratio,-0.263886,-0.138081,0.109587,-0.277558,0.136476,0.143135,-0.033846,0.142071,0.696123,-0.554891,-0.683597,-,0.931559,0.000000,0.000000,0.309466,0.027354,0.632868,0.000000,0.008789,0.001794,0.000788
PicD-Energy,0.313158,0.275517,0.114222,-0.126818,0.080514,0.146895,0.004747,0.164419,0.251533,-0.530231,-0.50461,-0.009078,-,0.274458,0.274458,0.824060,0.480977,0.366316,0.053858,0.328158,0.202819,0.671614
PicD-Word Number,0.177956,-0.054767,-0.21607,0.327306,-0.170094,-0.190842,-0.015939,-0.185501,-0.620732,0.594099,0.704644,-0.87373,-0.115133,-,0.,0.302424,0.000058,0.171538,0.000000,0.004479,0.000354,0.000070
PicD-Word Rate,0.177956,-0.054767,-0.21607,0.327306,-0.170094,-0.190842,-0.015939,-0.185501,-0.620732,0.594099,0.704644,-0.87373,-0.115133,1.0,-,0.302424,0.000058,0.171538,0.000000,0.004479,0.000354,0.000070
