index,features,MMSE,DST,IQCODE,group
0,DDK-DDK Rate,0.201614,0.107583,0.041256,Single-Task
1,DDK-DDK Regularity,0.083056,0.097858,0.081245,Single-Task
2,DDK-DDK Duration,0.103133,0.032825,0.064683,Single-Task
3,PicD-F0 SD,0.000717,0.050353,0.08591,Single-Task
4,PicD-Intensity SD,0.004769,0.121229,0.069643,Single-Task
5,PicD-DPI,0.051181,0.175973,0.044579,Single-Task
6,PicD-RST,0.009002,0.028568,0.202346,Single-Task
7,PicD-Voiced Rate,0.000663,0.034434,0.215735,Single-Task
8,PicD-Hesitation Ratio,0.263886,0.138081,0.109587,Single-Task
9,PicD-Energy,0.313158,0.275517,0.114222,Single-Task
10,PicD-Word Number,0.177956,0.054767,0.21607,Single-Task
11,PicD-Word Rate,0.177956,0.054767,0.21607,Single-Task
12,PicD-Function Word Ratio,0.008218,0.224619,0.030646,Single-Task
13,PicD-Lexical Density,0.085544,0.046155,0.071563,Single-Task
14,PicD-MATTR,0.173916,0.116659,0.027517,Single-Task
15,PicD-Sentence Number,0.092932,0.068579,0.158573,Single-Task
16,PicD-Parse Tree Height,0.281955,0.206423,0.143691,Single-Task
17,PicD-Yngve Depth,0.01984,0.041457,0.020311,Single-Task
18,PicD-Dependency Distance,0.186875,0.067793,0.037523,Single-Task
0,DDKWM-DDK-DDK Rate,0.310273,0.094836,0.029095,Dual-Task
1,DDKWM-DDK-DDK Regularity,0.122807,0.192075,0.085024,Dual-Task
2,DDKWM-DDK-DDK Duration,0.215858,0.129772,0.035545,Dual-Task
3,PDSS-PD-F0 SD,0.075773,0.067734,0.073924,Dual-Task
4,PDSS-PD-Intensity SD,0.045324,0.264771,0.023441,Dual-Task
5,PDSS-PD-DPI,0.145582,0.164743,0.146506,Dual-Task
6,PDSS-PD-RST,0.240357,0.273344,0.220295,Dual-Task
7,PDSS-PD-Voiced Rate,0.268513,0.277378,0.261643,Dual-Task
8,PDSS-PD-Hesitation Ratio,0.395087,0.299269,0.347182,Dual-Task
9,PDSS-PD-Energy,0.158167,0.057399,0.037109,Dual-Task
10,PDSS-PD-Word Number,0.329975,0.181763,0.399385,Dual-Task
11,PDSS-PD-Word Rate,0.329975,0.181763,0.399385,Dual-Task
12,PDSS-PD-Function Word Ratio,0.099727,0.008001,0.219411,Dual-Task
13,PDSS-PD-Lexical Density,0.305352,0.139607,0.003677,Dual-Task
14,PDSS-PD-MATTR,0.042014,0.041314,0.401228,Dual-Task
15,PDSS-PD-Sentence Number,0.2896,0.192024,0.431821,Dual-Task
16,PDSS-PD-Parse Tree Height,0.175815,0.06465,0.037349,Dual-Task
17,PDSS-PD-Yngve Depth,0.239466,0.120318,0.260209,Dual-Task
18,PDSS-PD-Dependency Distance,0.273605,0.009924,0.201932,Dual-Task
