任务名,完成人数 (男/女),年龄 (年),教育水平 (年)
DDK,98 (37 / 61),47.91 ± 19.51 (22 ~ 86),14.04 ± 4.37 (8.00 ~ 23.00)
PD,98 (37 / 61),47.91 ± 19.51 (22 ~ 86),14.04 ± 4.37 (8.00 ~ 23.00)
DDKWM,98 (37 / 61),47.91 ± 19.51 (22 ~ 86),14.04 ± 4.37 (8.00 ~ 23.00)
PDSS,98 (37 / 61),47.91 ± 19.51 (22 ~ 86),14.04 ± 4.37 (8.00 ~ 23.00)
PSQI,98 (37 / 61),47.91 ± 19.51 (22 ~ 86),14.04 ± 4.37 (8.00 ~ 23.00)
BDI,98 (37 / 61),47.91 ± 19.51 (22 ~ 86),14.04 ± 4.37 (8.00 ~ 23.00)
GAD-7,98 (37 / 61),47.91 ± 19.51 (22 ~ 86),14.04 ± 4.37 (8.00 ~ 23.00)
MMSE,98 (37 / 61),47.91 ± 19.51 (22 ~ 86),14.04 ± 4.37 (8.00 ~ 23.00)
DST,63 (25 / 38),59.70 ± 13.72 (31 ~ 86),11.40 ± 2.69 (8.00 ~ 16.00)
IQCODE,63 (25 / 38),59.70 ± 13.72 (31 ~ 86),11.40 ± 2.69 (8.00 ~ 16.00)
