任务名,完成人数 (男/女),年龄 (年),教育水平 (年)
DDK,155 (65 / 90),39.54 ± 19.03 (22 ~ 86),15.77 ± 4.29 (8.00 ~ 23.00)
PD,155 (65 / 90),39.54 ± 19.03 (22 ~ 86),15.77 ± 4.29 (8.00 ~ 23.00)
DDKWM,155 (65 / 90),39.54 ± 19.03 (22 ~ 86),15.77 ± 4.29 (8.00 ~ 23.00)
PDSS,155 (65 / 90),39.54 ± 19.03 (22 ~ 86),15.77 ± 4.29 (8.00 ~ 23.00)
PSQI,155 (65 / 90),39.54 ± 19.03 (22 ~ 86),15.77 ± 4.29 (8.00 ~ 23.00)
BDI,155 (65 / 90),39.54 ± 19.03 (22 ~ 86),15.77 ± 4.29 (8.00 ~ 23.00)
GAD-7,155 (65 / 90),39.54 ± 19.03 (22 ~ 86),15.77 ± 4.29 (8.00 ~ 23.00)
MMSE,155 (65 / 90),39.54 ± 19.03 (22 ~ 86),15.77 ± 4.29 (8.00 ~ 23.00)
DST,63 (25 / 38),59.70 ± 13.72 (31 ~ 86),11.40 ± 2.69 (8.00 ~ 16.00)
IQCODE,63 (25 / 38),59.70 ± 13.72 (31 ~ 86),11.40 ± 2.69 (8.00 ~ 16.00)
